tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
87000,331,48,1.4300968409295984,3.1292558280900384,4.527655723069501,8.884587138489307,30,107,30,16,7993,0,14,309,83,944,235
87100,339,30,1.3850672543186835,3.328544474953414,5.032162248794265,9.581476726009887,35,102,35,22,8187,0,40,325,81,1092,259
87200,331,50,1.3845093823831576,3.3097825977921205,5.5946669774285045,9.954149074914033,31,106,31,22,8327,0,46,311,48,1047,247
87300,323,17,1.3739305346558774,3.3587478937396487,5.551233293616687,9.575188164374849,27,110,27,15,7587,0,33,289,63,994,220
87400,319,30,1.389359258469624,3.324747058097748,4.54128525203054,9.105505555070334,31,106,30,19,7964,0,28,312,83,991,243
87500,322,24,1.4283301233023786,3.2946230308219473,5.42658963250372,9.378938410102114,32,105,32,20,7981,0,15,341,125,940,263
87600,364,26,1.4320204431898451,3.4331391707277925,6.129460822256071,10.594925620899494,34,103,34,21,8399,0,54,341,109,1047,284
87700,377,18,1.4005129235099232,3.3595742042387244,5.201311238045917,9.193735763807192,31,106,31,14,7869,0,23,352,102,1011,284
87800,343,22,1.393357727293871,3.3350615697172064,4.185138858577147,8.998922300219263,32,105,32,17,7769,0,17,341,84,996,241
87900,341,27,1.4009882919544427,3.3147819530045313,4.850800466418607,9.454261932091745,29,108,29,16,8005,0,39,359,70,994,282
88000,335,19,1.3844455009644523,3.2970761109319637,5.703454554819106,9.709575710050707,34,103,33,25,8136,0,50,337,82,1099,232
88100,355,42,1.379218258423383,3.3654968609134244,6.560009818690082,10.141331432473617,31,106,31,28,8238,0,49,304,81,1018,238
88200,349,34,1.388946523823487,3.2874193840831847,5.100826011685176,9.240321456825734,33,104,32,23,8381,0,24,308,94,1042,270
88300,304,35,1.4088559489947015,3.303278311085198,5.610551630086461,9.766484391081912,32,105,32,23,7755,0,24,277,68,935,241
88400,333,47,1.414507594804001,3.2822554079533472,5.881338090619689,9.792290254803229,35,102,35,28,8250,0,31,257,62,1023,282
88500,293,54,1.413782411977408,3.4136057032492797,6.296546026685737,9.635927332471452,30,107,30,20,7864,0,41,237,74,934,223
88600,320,40,1.4022163505553493,3.3656082700652132,6.526887142043507,10.182920665348918,31,106,31,22,8418,0,59,259,72,1081,274
88700,326,38,1.4179721360792374,3.3096697176905154,6.099418639847162,9.934644055950406,29,108,28,20,8154,0,40,306,81,1027,245
88800,338,34,1.4087821860316863,3.247430045736859,5.470424839384901,9.325356178556564,29,108,29,19,7809,0,32,267,56,991,254
88900,331,30,1.4034250134341104,3.353518047046953,4.51678813008706,8.938578942808784,31,106,31,17,7627,0,17,279,61,974,251
89000,339,29,1.3892147524588743,3.3540919097500357,4.676453024289092,9.29669247404642,31,106,31,16,7997,0,30,285,76,1044,269
89100,353,20,1.402132903420376,3.2587078442358264,3.5693790511174397,8.89825374043218,34,103,34,15,7879,0,11,283,77,1035,319
89200,363,26,1.408138371228892,3.2844333288127943,4.1723464263148955,9.328313630059837,35,102,34,20,8197,0,28,321,76,1015,294
89300,372,35,1.4100723317312285,3.3115171014875835,4.644080333547128,9.059810773712474,29,108,29,16,8217,0,29,318,78,1019,312
89400,320,22,1.4181161098347774,3.397915368515214,4.9613719748861405,8.815080656735766,31,106,30,21,7250,0,19,254,49,911,235
89500,290,34,1.4027400736238524,3.3494916523534943,4.738207412255787,9.206740330747687,32,105,32,16,7540,0,26,294,61,930,237
89600,320,41,1.420742515538877,3.3669346667694207,5.044114822741758,9.59326182576454,27,110,27,15,7767,0,35,267,61,923,288
89700,286,39,1.4147792916076,3.2447890046400096,4.3846856350134225,8.887272232755207,29,108,29,22,6900,0,20,253,49,821,239
89800,317,28,1.3713814838923681,3.3521115721653643,5.0675324932635295,9.377013556189253,29,108,29,19,7462,0,38,271,54,979,266
89900,329,30,1.4087147738516523,3.229868058426496,5.204312256972475,9.828208743913464,33,104,33,14,7885,0,33,314,49,1006,289
90000,328,19,1.409358997647986,3.3838706934738525,5.730818172898751,10.186293441917014,33,104,32,18,8016,0,41,307,74,1017,306
90100,346,25,1.4212068911391356,3.3766083316371036,4.903648499944216,9.963966644743058,32,105,32,18,7743,0,22,314,78,974,280
90200,353,28,1.4461217176465169,3.2342055758998494,4.361884016370626,9.096442096405488,33,104,32,19,7844,0,25,279,83,973,277
90300,346,31,1.4241572252108177,3.334460472259826,4.452605748063949,8.831733781389635,33,104,33,23,8153,0,23,276,92,1039,319
90400,346,20,1.4054805661487801,3.301321890862835,5.1207801278808995,9.501379122510729,35,102,33,20,8175,0,21,289,100,1057,322
90500,328,30,1.4430613996743622,3.349936044743759,4.801287237638597,9.424812483996142,31,106,31,18,7705,0,23,277,88,902,306
90600,326,19,1.4193877112228312,3.371965524671406,5.5121091027995055,9.639391748817058,33,104,33,22,7895,0,48,273,70,1021,276
90700,316,38,1.4035358725227791,3.417286442683789,6.114522255706535,10.033753711677964,31,106,31,22,8067,0,31,256,71,1013,266
90800,316,45,1.4263202380037954,3.3522299516788685,5.887685273833494,9.96716753048293,37,100,35,22,8157,0,47,278,62,988,255
90900,327,42,1.3946596344069797,3.280738277761111,4.16582939209024,8.750378970659543,31,106,31,14,7587,0,25,251,61,967,248
91000,304,22,1.413437998701871,3.337968135327454,5.068893253483775,9.22584280808892,32,105,31,18,7599,0,32,261,65,975,266
91100,332,17,1.399454691479811,3.3162524258593136,5.630886240402184,9.471547126961447,31,106,31,17,7990,0,42,293,57,1073,275
91200,350,24,1.3959658014800498,3.300822703277114,5.956475847965245,9.42983178640245,31,106,31,18,8204,0,47,301,58,1061,292
91300,331,26,1.3806474867244805,3.385538372991632,5.1043820245017235,9.528687582860673,32,105,32,19,7778,0,33,287,55,1002,283
