tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
80900,1388,88,1.3813109174865084,3.22191511661246,4.657933685963853,9.112796837906188,113,387,111,64,29718,0,0.7006201723556406,105
81000,1358,73,1.3724556768271858,3.200811594932041,4.528957218822426,8.918084800285937,120,380,118,74,29497,0,0.690868704043057,94
81100,1350,80,1.3910379093742515,3.220377180480658,4.964135299231924,9.315378086514027,129,371,126,92,30008,0,0.7437750032368858,115
81200,1375,120,1.3742086810281302,3.1671063430084443,4.864883243828195,9.060148501182296,128,372,128,96,31427,0,0.754500208007865,144
81300,1329,110,1.3813374014864228,3.229226302826914,4.688411739231999,9.02171770366274,127,373,127,86,29916,0,0.6942325390380845,125
81400,1360,117,1.4089497885380518,3.2258068106017337,4.967597774927581,9.280335406112208,126,374,126,93,31571,0,0.7739833239215587,140
81500,1364,140,1.399414023296995,3.2660688249761534,5.28325534385215,9.599226553918808,134,366,134,106,32208,0,0.832135927980725,168
81600,1351,158,1.411673345134441,3.1731258855715008,5.065729739037792,9.396044082858012,133,367,133,101,31986,0,0.7754198654671938,147
81700,1382,121,1.3883435831247077,3.2176643905360383,5.296667093237961,9.52393245745694,127,373,126,94,31809,0,0.8157591484546397,174
81800,1332,117,1.393227579170302,3.213468127446581,5.39904376572757,9.467409910359214,127,373,126,92,31490,0,0.801505216249947,153
81900,1315,124,1.4151050288145648,3.215120216418073,5.486212029617231,9.642482021761742,135,365,134,105,31653,0,0.8061408531082396,189
82000,1373,165,1.3935367262072011,3.2233653656489754,5.3826189988791615,9.527242770788021,129,371,128,95,32665,0,0.8210850442248179,170
82100,1339,111,1.3926542448180723,3.195761788549037,5.200266461848611,9.408611329659003,129,371,129,104,31283,0,0.7869430079921463,150
82200,1345,78,1.4039627424647652,3.2019707030272673,5.099394469807388,9.405752871792163,128,372,125,90,30384,0,0.7615670439659955,164
82300,1315,110,1.4073075336818526,3.244493776388579,5.097240214782808,9.34384058024664,127,373,125,83,31681,0,0.7676611785436736,160
82400,1345,115,1.405401826282632,3.204313719187797,5.256133671825121,9.367170165098642,136,364,133,100,31745,0,0.7812883305712388,165
82500,1366,125,1.4105994431833204,3.2231570738090154,5.05567450366768,9.424830720397399,129,371,128,97,32021,0,0.804040934860371,118
82600,1344,134,1.4222250381845927,3.2608590071683676,4.584046081565064,9.097439514254582,120,380,117,63,30406,0,0.6865506143190203,94
82700,1321,107,1.4006833995331809,3.220283004837945,4.643142152675682,9.0032472242014,131,369,129,96,30100,0,0.6967240124260576,103
82800,1385,102,1.399117509124836,3.2245089141672065,4.942591444556342,9.276536416612906,121,379,118,78,30472,0,0.7390041977713716,128
82900,1317,100,1.4001118823265093,3.222983058407441,4.591823627805179,8.97599569414492,129,371,129,95,29689,0,0.690056777294599,91
83000,1397,114,1.389210870019491,3.188395328061818,4.891705223770429,9.118682664734196,119,381,119,71,31031,0,0.7442418859734223,113
83100,1333,120,1.3876430919323675,3.266711659210578,4.972301810274224,9.34346330701714,120,380,119,82,30161,0,0.7286520387076575,126
83200,1353,109,1.3996411952258134,3.2193183046055207,4.807701498227944,9.15346447189892,130,370,128,96,31697,0,0.7573242397499055,145
83300,1367,93,1.3988539781498333,3.1916710214396313,4.819999962506397,9.130186561985598,123,377,123,95,30665,0,0.7186470614150869,131
83400,1295,110,1.4012528358246865,3.245271794229964,4.787164090167923,9.092861466119,128,372,126,98,30275,0,0.7134280875504632,135
83500,1340,138,1.3996634705720794,3.1765603298347433,5.732615024795601,9.765489943431124,126,374,124,88,31954,0,0.8655382593434264,193
83600,1332,131,1.4047865564235706,3.235989324891857,5.011997466524047,9.24820225821857,132,368,130,94,31134,0,0.7203846636118185,176
83700,1296,117,1.4278675425168361,3.184292056283274,5.246927761841866,9.440153373711496,127,373,124,92,30638,0,0.761802939466614,140
83800,1320,141,1.4268545660161207,3.232228465085311,5.299066984435057,9.565554571049516,140,360,140,118,32306,0,0.8274312107451101,150
83900,1382,140,1.429956948666434,3.2174501723643956,5.223380323661921,9.47423586587518,132,368,130,94,32297,0,0.7986989394602766,135
84000,1361,165,1.4344194384674742,3.2196740965993214,5.179679668335919,9.559950030516065,133,367,133,104,32380,0,0.7976694954832761,127
84100,1372,128,1.412792678943095,3.2358752240361213,5.423039151931843,9.72678058895031,139,361,138,99,32394,0,0.8647765212404692,136
84200,1388,166,1.4359186880382675,3.2198705311343536,5.513655713881906,9.781488468231956,131,369,128,82,32326,0,0.8429985022966541,130
84300,1329,137,1.4360194981759995,3.2171847663500213,5.167460554124398,9.471078713728923,132,368,131,91,31590,0,0.7623204029783329,148
84400,1353,152,1.4510855284399193,3.210679028598138,5.407558616213128,9.76450630623593,132,368,129,86,31848,0,0.8365018140545116,144
84500,1311,144,1.4293308119712185,3.2270790007764822,5.050123922008073,9.455148498467912,124,376,124,72,30842,0,0.7348880048012524,130
84600,1301,134,1.427409226620735,3.2208188579854844,4.6771587194476005,9.003577343696376,129,371,127,85,31077,0,0.6789852772211801,144
84700,1329,135,1.4267574026168197,3.2163948956119164,4.647464881180981,9.04013503110184,129,371,127,84,29888,0,0.6805338612781897,113
84800,1315,156,1.437527292614283,3.1920508373446355,5.252393920804801,9.408562415286404,133,367,131,93,31343,0,0.7562284431356335,145
84900,1300,146,1.4113639818213088,3.216627127369368,5.427271169023126,9.617092578841625,129,371,127,88,31336,0,0.791151665901708,163
85000,1347,130,1.4167579484417692,3.2077885092124574,5.168296826499322,9.408119338314034,127,373,127,84,31880,0,0.7763388847106211,162
85100,1364,103,1.4234972685968716,3.197072325902182,4.811814597679369,9.175065262770328,128,372,127,90,30682,0,0.7307391272184421,106
85200,1348,109,1.409867051532662,3.1883145380210216,4.815230154269852,9.130254582624508,129,371,127,84,30493,0,0.6964868900498312,133
85300,1320,138,1.4083853925830068,3.235248908506879,5.0693053597380615,9.33122853631854,125,375,124,96,30918,0,0.7636417127365971,139
85400,1373,144,1.4435147265610684,3.2563789312651954,5.895119476808219,10.149065993094494,123,377,123,68,32445,0,0.8982983444516691,143
85500,1307,89,1.4277285136511473,3.1953802489979948,5.040949648691584,9.36817507222448,121,379,119,75,30809,0,0.7274129948951026,188
85600,1354,84,1.4155479186420576,3.2187903570036607,5.103510746312079,9.505117892344655,123,377,121,75,30377,0,0.788147333266002,91
85700,1357,135,1.4183182161499048,3.1861267773957183,5.240470690885555,9.639068655875802,128,372,124,81,31661,0,0.8050460668507387,137
85800,1315,103,1.4156166968185022,3.2077727176138824,5.2850442245460805,9.44238793870974,131,369,128,89,31600,0,0.7672494775621195,180
85900,1392,137,1.4180293111141993,3.222889574015896,5.563540946541716,9.940492996695031,133,367,132,103,32846,0,0.9005830585585477,151
86000,1372,161,1.4187091965058836,3.2087378470129035,5.630206618566325,9.708820637603559,129,371,128,98,32848,0,0.8388739404254525,156
86100,1342,135,1.4013871690379631,3.253324209576562,5.338610943661885,9.646947482606397,139,361,137,120,32157,0,0.8314896913757884,161
