tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
50000,300,30,1.5473109319627492,3.301136852244536,8.151219093048935,10.929540113111491,38,99,0,0,12902,0,105,277,62,1081,316
50100,304,20,1.576467324353947,3.2514506031594976,7.021002882017249,10.716175093542136,36,101,0,0,11561,0,47,281,51,889,302
50200,308,28,1.5758065240430779,3.211741386199389,6.040863852116461,10.307059905578035,40,97,0,0,12766,0,44,339,55,1042,343
50300,313,22,1.5467499280866341,3.243928760953529,7.0993395229641365,10.38386793194765,37,100,0,0,11972,0,49,289,64,980,247
50400,299,28,1.564041680167429,3.2240420769031446,5.302359186608023,10.4735046651405,43,94,0,0,11659,0,42,347,62,885,318
50500,285,21,1.5924383930736452,3.253609355298983,5.049538345984937,9.675093782206785,41,96,0,0,11373,0,40,287,117,853,299
50600,329,18,1.5445079366125263,3.240349031789243,5.883606241069396,9.847574703139696,40,97,0,0,13044,0,67,283,81,1082,349
50700,307,35,1.57371050626771,3.241425771768652,7.142832715014603,11.039480666864954,40,97,0,0,12803,0,70,256,83,966,336
50800,301,37,1.5631768565110307,3.236280882416443,7.7431758373116075,10.502535435027946,42,95,0,0,13266,0,100,258,116,1041,323
50900,306,28,1.57450464949949,3.255534654028462,8.037359013492525,10.810744424521129,40,97,0,0,12024,0,73,239,63,937,306
51000,315,41,1.576428090802075,3.297704962564096,7.56324006330861,10.651978765076628,43,94,0,0,13479,0,106,307,71,1070,353
51100,330,34,1.5567387688476741,3.274733223261086,6.801326366486973,10.506687052283796,39,98,0,0,12373,0,56,268,60,1002,324
51200,296,26,1.5943510782688533,3.2191046164877433,6.6876582461656024,10.121053068405626,39,98,0,0,11666,0,71,259,66,892,277
51300,295,37,1.5764581085688258,3.2093912454074984,6.806159852875023,10.057498089758536,40,97,0,0,12088,0,77,284,70,926,293
51400,272,21,1.586893748358444,3.3005300801279907,9.22830227108633,10.756849106217139,35,102,0,0,12385,0,126,309,70,968,279
51500,331,19,1.5670367079923935,3.2168145683006357,8.457770369766115,11.307307868687897,36,101,0,0,12844,0,111,304,61,1039,366
51600,282,25,1.5513308168863218,3.2764905722502475,8.53032159958205,10.961248738920178,42,95,0,0,13130,0,130,317,46,1003,348
51700,338,34,1.546970775248287,3.1810618608743515,6.026602347824547,10.630676888132582,41,96,0,0,13448,0,56,354,71,1027,436
51800,314,23,1.5453046900254452,3.212520772421666,6.112474986863095,10.306420709760546,41,96,0,0,12933,0,71,310,68,995,360
51900,304,26,1.5161268686858593,3.279188228266401,5.537117775284572,9.613595035167789,38,99,0,0,12476,0,87,304,80,969,346
52000,322,41,1.536937427285235,3.2277402307669014,5.703406191981839,9.27931054357915,43,94,0,0,13024,0,72,298,79,1003,328
52100,308,32,1.5463416166435175,3.3234371887142773,6.274436033754687,10.469707937547492,37,100,0,0,12138,0,65,292,77,1001,289
52200,287,38,1.567113611959451,3.277713282116919,6.019560229330351,10.19122842117463,42,95,0,0,12292,0,41,317,72,953,281
52300,309,36,1.5277339260314946,3.1769143381558234,6.389982663406423,9.658787064114078,43,94,0,0,12510,0,59,296,62,993,345
52400,312,16,1.522751979442189,3.2554788944472612,7.285018854636636,10.358151830076416,42,95,0,0,12441,0,71,287,62,988,343
52500,307,39,1.5348137546059675,3.1948974281652314,7.602273476867129,10.58150826611469,40,97,0,0,12202,0,64,258,68,908,369
