tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member
104100,1101,17,1.4450198869724629,2.955403662021628,2.578276940787252,6.95931838093471,139,361,0,0,28572,0,29,4042
104200,1161,21,1.434465199670162,2.965567187152411,2.837335923889546,7.18065290348768,127,373,0,0,29205,0,26,4185
104300,1137,17,1.4378872301604833,2.891624714918292,2.7186309403346307,7.047994967545927,128,372,0,0,28833,0,28,4112
104400,1157,19,1.4225209816204245,2.85985206189525,2.3728558895553946,6.689183414728353,128,372,0,0,28134,0,18,4002
104500,1129,19,1.4120742897550613,2.9066123033613684,2.4833934404019247,6.774961369793521,127,373,0,0,28480,0,23,4068
104600,1127,23,1.4150926918355031,2.9368087000505114,2.932158103303612,7.173572659337049,129,371,0,0,29316,0,43,4153
104700,1172,19,1.4305006036194872,2.9807776387441884,2.72677261728257,7.160615571570743,133,367,0,0,29063,0,24,4140
104800,1195,32,1.4310825903781608,2.939580766427348,2.7169185393318345,7.084034230534091,125,375,0,0,29746,0,38,4148
104900,1157,18,1.4374395301775016,2.9001348383993006,2.3823646218989754,6.775697797899673,130,370,0,0,28295,0,18,4035
105000,1155,9,1.409121110164075,2.9400627589536668,2.327168871689734,6.685517201533848,128,372,0,0,29691,0,25,4274
105100,1173,12,1.4284747124530752,2.926206971761151,2.318286953057994,6.703889853803658,129,371,0,0,28390,0,16,4072
105200,1139,13,1.4089264930257872,2.9517799964028226,2.621959265554198,6.9571694693926505,127,373,0,0,29113,0,45,4170
105300,1169,12,1.4196311132722215,2.940511214829237,2.5823700310405426,6.931755556459275,126,374,0,0,28937,0,22,4113
105400,1166,19,1.4463540148789193,2.9103677157167933,2.3627911948541507,6.77325845375347,135,365,0,0,29092,0,20,4140
105500,1154,7,1.4069284657606431,2.940744760486777,2.599155675636701,6.951724899326626,134,366,0,0,28580,0,20,4100
105600,1212,22,1.4050153185410696,2.928670885461904,2.5327490029919653,6.798217779199104,146,354,0,0,30459,0,35,4339
105700,1179,16,1.4004200158710889,2.8356289559961225,2.6039826131351647,6.8620888929139054,126,374,0,0,29349,0,28,4166
105800,1148,17,1.402173557777563,2.9124671583012725,2.2671720058821387,6.598169984179277,132,368,0,0,28083,0,11,3980
105900,1181,16,1.3977948734228611,2.944598248252965,3.279864042544959,7.479154105531522,127,373,0,0,30291,0,33,4378
106000,1194,23,1.4061160665644445,2.978081178000146,3.0030886556317244,7.351463648808974,137,363,0,0,30114,0,19,4254
106100,1165,16,1.427407746696208,2.8849546756731166,2.192197705703435,6.543970254773326,132,368,0,0,28556,0,14,4055
106200,1133,11,1.4382060289280287,2.922135420970022,2.528550150075716,6.875238293799955,127,373,0,0,29110,0,27,4182
106300,1110,13,1.4248780281248912,2.844319467075673,2.1579806956922876,6.445080078198656,140,360,0,0,28995,0,28,4131
106400,1167,10,1.4085786062319712,2.9529715671134062,2.990592115731169,7.344027127010828,116,384,0,0,28562,0,45,4085
106500,1161,16,1.4284237287394819,2.9074865398156824,2.277308603478033,6.60305919541144,134,366,0,0,28950,0,21,4112
106600,1202,13,1.4015784131296514,2.8975974325966667,2.4075013996228787,6.724299762850795,126,374,0,0,29255,0,14,4196
106700,1119,11,1.4144918626224205,2.8861001237993094,2.4252255695442075,6.6941236907073565,130,370,0,0,28115,0,17,4011
106800,1175,7,1.4081502740967509,2.9281956986852267,2.63640630660362,6.926196910162702,143,357,0,0,30074,0,36,4316
106900,1245,11,1.4106502132190402,2.884426382289439,2.7898819797134666,7.124126615868249,134,366,0,0,30700,0,45,4410
107000,1156,13,1.4043870461017778,2.9199625380951746,2.778132828507059,7.080036302715103,128,372,0,0,28983,0,23,4112
107100,1151,16,1.4179302964348208,2.853552468074974,2.378553778484917,6.645891286384852,125,375,0,0,28202,0,21,4023
107200,1153,9,1.3967254201526693,2.9084837541907818,2.3364647875569484,6.6206748895818714,127,373,0,0,28439,0,13,4072
107300,1165,8,1.3740281414271438,2.8728137116368453,2.8913220311155747,7.076761166647376,132,368,0,0,29622,0,38,4264
107400,1174,13,1.4288426759656685,2.890888760357474,2.6473423067991924,7.013133365967329,138,362,0,0,29222,0,27,4107
107500,1179,11,1.4312079147742411,2.932870727926282,2.9697537533554894,7.289878131575826,132,368,0,0,30483,0,45,4393
107600,1231,13,1.4078253263698455,2.89127004447128,2.737709866534944,7.10087592702513,129,371,0,0,29179,0,18,4166
107700,1160,13,1.4180544289048853,2.913246959031427,2.52059789677995,6.86500112878319,133,367,0,0,29887,0,34,4251
107800,1172,9,1.4115340361286541,2.909504394546338,2.7010307414590233,6.950956550966133,128,372,0,0,29359,0,34,4199
107900,1151,11,1.4114305965583684,2.9584854384796295,2.487312944307247,6.884722277958134,125,375,0,0,28365,0,17,4070
108000,1140,7,1.397472152221482,2.9665291594110283,3.057621068588596,7.294241861770501,145,355,0,0,29676,0,38,4246
108100,1144,22,1.4002883460895195,2.8915019676839258,2.5422862596436677,6.8228193958315675,133,367,0,0,28426,0,16,4038
108200,1192,12,1.3959102954857316,2.9128638464098606,2.9899415037686286,7.220959180466302,130,370,0,0,29672,0,41,4208
108300,1177,7,1.3994713860110448,2.9039666743279473,3.0875620345781596,7.383603966593858,114,386,0,0,29672,0,29,4249
108400,1141,7,1.3983628864650615,2.860375806231504,2.1872528377499556,6.436991219187381,126,374,0,0,28145,0,10,4025
108500,1183,15,1.3965387328122296,2.885189641691562,2.9414365609671096,7.128276437241851,142,358,0,0,30367,0,47,4339
108600,1156,11,1.3890156187425924,2.8817429580669307,2.7659444277821796,6.9898178628734025,140,360,0,0,29944,0,41,4282
108700,1215,9,1.3802997651598334,2.930296157348274,2.8420662951027267,7.142393603801493,122,378,0,0,29432,0,23,4203
108800,1187,9,1.3971601485573846,2.850230383560395,2.86143570457292,7.090122732574133,138,362,0,0,30026,0,32,4283
108900,1156,9,1.3698878066521483,2.8710696397658584,2.8668640506528846,7.075062081225152,131,369,0,0,28670,0,37,4085
109000,1139,14,1.3730438384257895,2.9076314780666053,2.6732168849884888,6.857616310054084,136,364,0,0,28436,0,34,4067
109100,1194,20,1.3767598156288843,2.901011142796611,2.3384034115958294,6.636202951085799,124,376,0,0,28652,0,8,4046
109200,1125,4,1.3607927238006294,2.8752476518092145,2.7087322131574036,6.832358923888284,128,372,0,0,29261,0,36,4196
109300,1131,16,1.3798566919611202,2.845157836191685,2.638097951948465,6.779452367257735,133,367,0,0,28195,0,24,4012
109400,1197,11,1.4004912640346197,2.9386351854711474,2.5413257701019734,6.91719714221199,130,370,0,0,29015,0,21,4166
109500,1135,10,1.3852329135405819,2.8938201872940357,2.440577039663621,6.717121370185765,125,375,0,0,28161,0,24,3995
109600,1113,7,1.3919977873959823,2.8546395301494276,2.2977961923798453,6.516891898894994,124,376,0,0,28406,0,29,4043
109700,1194,12,1.3938170011998778,2.9141584851407414,2.730944683467992,6.974189281342192,133,367,0,0,30434,0,35,4372
109800,1147,12,1.3883349145043788,2.9244066762343577,2.683805245913332,6.895900052545147,125,375,0,0,29275,0,31,4193
109900,1195,11,1.3872663994243357,2.8959541991915354,3.0981093028457307,7.304404735955757,141,359,0,0,30449,0,52,4317
110000,1212,18,1.3934824260411054,2.8547397510691557,2.680322683466275,6.875244101187337,134,366,0,0,30782,0,32,4362
110100,1163,12,1.383335112443959,2.939171644491596,2.8383617347932995,7.097812565736993,125,375,0,0,28627,0,26,4075
110200,1178,11,1.3706044803231419,2.905480455223611,3.0201819376159835,7.262955307298345,125,375,0,0,28957,0,26,4160
110300,1139,11,1.3796078165461247,2.9101192964709837,2.6405006003047733,6.89201288968993,132,368,0,0,28676,0,23,4083
110400,1178,12,1.388963908728697,2.882111921247689,2.6469967097477216,6.937152530909347,127,373,0,0,29228,0,21,4164
110500,1148,13,1.3795269852907623,2.9317297242666616,2.8611733385684808,7.103535863188117,134,366,0,0,29607,0,52,4202
110600,1154,9,1.376580210903754,2.876213661738854,2.656806305691313,6.832284341660325,129,371,0,0,29853,0,33,4260
110700,1176,8,1.361810996903074,2.8831873974317768,2.4771278938472654,6.701517454086366,130,370,0,0,28620,0,28,4128
110800,1152,11,1.3591728803637262,2.9457952778553835,2.5766993215264105,6.830262885850845,129,371,0,0,28861,0,24,4127
110900,1106,13,1.3754679649587618,2.9167101330443432,2.4970404103153636,6.710917360487357,123,377,0,0,27334,0,27,3861
111000,1148,10,1.3672520439432645,2.899022041144456,2.99963601560349,7.135451829300137,130,370,0,0,29500,0,41,4238
111100,1171,10,1.3894449337928458,2.9474213813608134,2.856261482844909,7.119824212519502,131,369,0,0,30192,0,57,4325
111200,1124,15,1.3817664648052002,2.861402179472932,2.257060348478418,6.479430721883201,127,373,0,0,27671,0,22,3924
111300,1121,17,1.3904374194522824,2.9263697850036836,2.5162968478984222,6.766025363733259,124,376,0,0,27637,0,26,3939
111400,1133,7,1.3841506442529408,2.9248546522403416,2.609322401427047,6.881118834045758,122,378,0,0,28388,0,23,4071
111500,1124,11,1.387996214425827,2.9242141348583868,2.8807276803605415,7.026690714053163,124,376,0,0,28453,0,53,4071
111600,1100,14,1.3997355096823174,2.926476492407312,3.0601999373670283,7.3289896299532975,127,373,0,0,28230,0,40,4023
