tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
11100,1257,49,1.6902585412422904,3.2344406560467207,6.55380473137911,11.052685148362343,162,338,0,0,46972,0,1.0289884322950567,245
11200,1270,57,1.7011631127268187,3.261932627896922,7.00411512305195,11.318893658221333,162,338,0,0,48944,0,1.1221687121526984,280
11300,1239,42,1.6904080885530723,3.2746356358378144,7.693143649703144,11.734773032579062,160,340,0,0,49150,0,1.208107164840303,345
11400,1269,49,1.683305974040301,3.238305137027969,7.252232424941184,11.3656833847935,155,345,0,0,48027,0,1.1108104119959827,277
11500,1264,70,1.6875495681234693,3.2625731010745476,7.560656829802815,11.63526827124209,166,334,0,0,50449,0,1.1910360545303542,311
11600,1293,69,1.700699146811778,3.3027096992487026,7.095777553788372,11.444564296901808,169,331,0,0,48087,0,1.1166556685334976,254
11700,1301,53,1.6963262188230879,3.23428988093473,7.679565657383235,11.857786101942839,166,334,0,0,50548,0,1.2809806600227367,308
11800,1251,45,1.6979327017850963,3.3261958381546304,8.167152673711598,12.225000587991618,167,333,0,0,50830,0,1.3159213023927998,361
11900,1293,58,1.6971128073041708,3.2906801096750105,8.499960496841988,12.361822060016982,170,330,0,0,51677,0,1.4185232884017265,356
12000,1313,51,1.6845842514949145,3.279858194649155,8.513844545954585,12.362490092673541,166,334,0,0,51342,0,1.3893370711811903,324
12100,1308,54,1.7030850718314667,3.2805904150818606,7.655954254472398,11.908685941753209,169,331,0,0,48520,0,1.2376562408097482,272
12200,1282,61,1.7079208858950268,3.2736001240200987,7.734669653973774,11.917276912867605,164,336,0,0,49781,0,1.2871665796663867,322
12300,1243,63,1.709028084781119,3.253794242509108,7.297861435972553,11.530986482747727,167,333,0,0,47959,0,1.1240032813945648,260
12400,1258,72,1.6835510421889557,3.2536456960843156,8.095494681056515,12.038399374716002,168,332,0,0,50317,0,1.2720035773261251,358
12500,1227,81,1.6819104005118897,3.246500748412998,7.168717220223882,11.28068433786268,167,333,0,0,48816,0,1.1056811419846932,295
12600,1290,68,1.6911475367608901,3.249876945691292,7.212961452166289,11.430523313373936,166,334,0,0,49777,0,1.1915969195601575,272
12700,1275,78,1.6953332329929922,3.303187820853986,7.276615450072991,11.470882207409904,164,336,0,0,49135,0,1.11953428596208,306
12800,1217,75,1.6937830910184666,3.2987316167980123,7.455145297451781,11.445183204404776,169,331,0,0,48095,0,1.1194747771509923,293
