tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
5500,350,56,1.4999219429123685,3.1504497176512047,8.925429809029163,12.059303463017478,39,87,38,52,8786,0,402,50,852,234
5600,350,55,1.501463065593611,3.148636117247593,9.362552043278004,12.250853130772043,38,88,37,52,8743,0,415,47,849,228
5700,356,52,1.4978646460626563,3.159367539768593,9.292033258814088,12.144224973941721,38,88,36,51,8660,0,418,51,851,230
5800,345,51,1.5023582202661787,3.1221256365443315,8.951948151299927,12.12423875745509,38,88,37,51,8555,0,410,52,824,221
5900,344,48,1.5093034374121244,3.1608591220378623,9.225512920521078,12.12403162415702,38,87,38,51,8463,0,392,46,831,230
6000,345,48,1.5091025657924502,3.1548170654278946,9.10477280754737,12.406739780185374,37,89,36,50,8501,0,416,51,827,226
6100,354,43,1.4954706748187376,3.0973458818993085,8.770920544588373,12.331033636319123,38,88,38,53,8465,0,423,48,837,236
6200,344,46,1.4841986290774767,3.1609550525121937,8.557435602724503,12.017291831380822,37,88,37,51,8379,0,395,47,838,235
6300,347,51,1.4846706618226562,3.156700091678102,9.271071537068645,12.165150382296241,38,88,38,54,8487,0,398,53,848,230
6400,353,64,1.490241228241011,3.144445685797014,8.76705633175812,12.016594961847213,38,88,37,53,8587,0,392,52,817,231
6500,344,53,1.4843198754206588,3.1565973315074958,8.69721904456905,11.785723911209061,39,86,38,57,8528,0,405,49,865,225
6600,356,47,1.4718519357679078,3.1495649959435057,8.835283444829017,12.035114179290774,38,87,37,54,8461,0,399,48,860,234
6700,358,46,1.4794099284162914,3.16984539406654,8.433504186659498,12.0728582476915,39,87,38,54,8542,0,414,52,876,244
6800,354,51,1.4960961813734133,3.1502711403099837,8.679877975309426,11.97630059655895,38,88,37,53,8516,0,389,48,846,238
6900,350,45,1.4923435899043644,3.144971201537844,8.67416987845391,11.74782624295499,37,89,36,51,8455,0,393,40,869,243
7000,344,43,1.4786468391515846,3.176063830380076,9.296890906930383,12.128901111107343,37,89,36,51,8400,0,380,41,863,240
7100,347,47,1.4771190896043966,3.1607181949407495,8.930079401087156,11.745243625504918,38,88,37,53,8543,0,395,40,859,255
7200,355,49,1.4737524697168416,3.1824919365635065,9.17568851751963,12.060414625025997,37,89,36,50,8434,0,400,45,846,235
7300,355,54,1.4681056206312812,3.1535073214035196,8.909573266027898,12.236238189659614,38,88,37,54,8592,0,391,40,877,241
7400,349,47,1.478903814167887,3.1618670398168147,8.361162959029626,11.725473367692473,39,87,38,54,8432,0,405,43,863,244
7500,356,50,1.470901956007295,3.1864497745644007,8.72059295450776,12.292863804856246,39,87,38,56,8674,0,401,43,904,247
7600,353,49,1.4742393245492886,3.172624012531266,8.844400199939336,12.080235891774853,37,89,36,55,8308,0,381,37,850,241
7700,340,49,1.4666326125548392,3.1597739871369686,9.192753316706622,11.584753494688416,37,89,36,54,8339,0,377,40,864,228
7800,360,52,1.4491571423046545,3.1399481926747854,8.551701258245393,11.826440942026862,37,88,37,53,8397,0,386,46,881,223
7900,348,53,1.45766437961366,3.152263828113803,8.874720413288431,12.145006915189313,37,89,37,56,8371,0,379,41,878,222
8000,340,55,1.4451880688268335,3.1841630099905545,9.224346722325638,11.877729643248742,38,88,37,55,8258,0,374,47,852,225
8100,350,46,1.4475863194614373,3.1279558770772855,8.91238912547124,11.736489796949733,37,88,37,54,8233,0,381,50,892,217
8200,344,53,1.448666632849721,3.1536272680754434,8.906282391404057,11.684065643802494,38,88,37,59,8189,0,372,42,864,219
8300,340,47,1.4396895407965884,3.1661504326923113,8.439232336280934,11.571647950171641,37,89,36,54,8036,0,369,41,846,225
8400,347,57,1.4481466786616979,3.1356844623534466,8.760314527144711,11.605508651121834,39,87,38,57,8307,0,377,42,870,227
8500,341,48,1.4497449886518072,3.1532301575064206,8.715480831913565,12.13194058650642,38,88,37,57,8264,0,409,40,878,225
8600,345,53,1.4651774602772838,3.1858871314731556,9.059025233400193,12.136442990650714,39,87,38,59,8376,0,386,37,872,232
8700,369,44,1.4454052795186854,3.1430778015825025,8.839143324191008,12.503966373785326,38,87,38,58,8376,0,396,38,900,245
8800,361,47,1.4532800515283228,3.146750308370679,9.145215797111229,12.293601005107545,37,89,36,55,8381,0,390,43,914,230
8900,367,40,1.4466241545118286,3.1490543426217177,8.945028242121891,12.344949418084452,37,89,37,55,8316,0,399,42,900,238
9000,348,39,1.4566919675877494,3.1564036379467155,9.032006440913252,12.142385309344206,37,89,37,56,8214,0,402,45,897,235
9100,359,39,1.4435391173414578,3.1171535494796365,8.840335174122961,12.093794011292477,36,90,36,58,8291,0,378,45,908,236
9200,358,52,1.4389672119723265,3.1360868989117914,9.172528112871031,12.485380366095642,37,88,37,57,8406,0,395,38,890,239
9300,355,48,1.4362150089403969,3.141141928327871,8.473983700538911,12.12363222970119,38,88,38,57,8236,0,377,34,884,219
9400,352,47,1.4474014511163202,3.134191552331763,8.622987780888927,11.833982693214237,39,87,38,59,8416,0,397,36,893,238
9500,359,47,1.4420529333504737,3.1351624034883243,8.599258338403146,11.74047419427051,37,89,36,55,8276,0,398,36,892,234
9600,351,50,1.4368392126763256,3.1750761573209996,9.103254726515143,12.14026872725664,39,87,39,58,8380,0,391,30,887,242
9700,356,64,1.4343256139214724,3.13507956578552,8.730158026659607,11.69072900310444,39,87,38,59,8350,0,395,35,869,235
9800,354,58,1.441484013175243,3.138531889669579,8.973641383110412,12.112728694857747,40,86,39,62,8427,0,403,34,886,230
9900,357,56,1.4424934540213932,3.1450351866086454,8.464839220271609,11.866049221112341,38,88,37,56,8415,0,399,35,916,230
