AgentID,Cap,Role,Count,TO,Cap,Distance
60,3.00,class Agent.Leader,4,443,3.00,2,270,3.67,1,493,2.33,1,40,3.67,1
158,3.33,class Agent.Leader,5,5,3.67,1,219,2.67,1,298,3.33,1,164,3.00,1,174,3.33,2
52,2.67,class Agent.Leader,5,498,3.00,1,495,4.33,2,297,2.33,1,79,3.00,2,405,4.00,2
134,3.33,class Agent.Leader,4,337,3.33,1,120,3.33,2,423,2.67,1,334,3.00,1
289,1.33,class Agent.Leader,3,309,3.67,1,115,3.67,2,368,4.00,1
137,3.00,class Agent.Leader,5,407,3.33,2,452,3.67,2,472,3.33,1,190,3.33,2,363,4.00,1
15,4.67,class Agent.Leader,4,407,3.33,2,176,2.67,2,145,2.00,1,36,2.67,1
10,3.00,class Agent.Leader,3,430,4.00,1,312,3.33,1,341,2.67,2
255,4.00,class Agent.Leader,5,203,3.33,1,287,4.33,2,431,4.67,1,322,3.67,1,268,2.67,1
0,3.33,class Agent.Leader,3,300,1.33,1,375,2.33,1,337,3.33,1
252,3.67,class Agent.Leader,3,84,3.00,1,247,3.00,2,379,3.33,2
161,4.33,class Agent.Leader,3,303,4.33,1,380,4.67,2,464,3.67,1
241,2.00,class Agent.Leader,3,56,3.67,1,421,3.00,1,168,3.67,1
447,2.00,class Agent.Leader,4,176,2.67,2,132,3.33,1,438,4.00,1,148,4.67,1
129,4.33,class Agent.Leader,2,25,4.33,2,233,3.67,1
340,1.67,class Agent.Leader,3,394,3.67,2,257,3.67,1,285,2.33,1
408,2.00,class Agent.Leader,5,12,4.33,1,458,4.33,1,2,2.33,1,412,3.33,1,476,4.00,2
265,2.00,class Agent.Leader,3,284,2.67,1,67,2.33,1,157,3.00,1
37,4.33,class Agent.Leader,5,93,4.00,1,1,2.33,1,414,3.00,1,379,3.33,1,170,3.67,1
357,3.33,class Agent.Leader,5,43,3.33,1,156,2.67,1,51,3.00,1,128,2.67,1,194,3.67,1
293,1.00,class Agent.Leader,3,176,2.67,2,398,4.33,2,170,3.67,2
328,2.00,class Agent.Leader,5,325,3.33,1,232,3.67,2,82,4.67,2,377,4.00,1,441,3.33,1
490,2.67,class Agent.Leader,3,488,4.00,1,18,2.33,1,363,4.00,2
