tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size
1900,1209,323,1.659236408947978,3.2543202380229888,10.909993018144995,12.11392481663898,164,336,136,154,35556,296,3.6096774793194926
2000,1190,334,1.6536470688404623,3.2418192705375724,10.716751777110986,11.933718727935004,160,339,134,151,35555,312,3.550020600262232
2100,1203,331,1.6384540981652214,3.2363913270943097,10.598354299184493,11.865537481798194,161,339,137,155,35318,285,3.491515449868753
2200,1182,314,1.6378383912229295,3.2202661562644743,10.723341186882994,11.622791669769335,159,340,137,155,34703,295,3.3813021871903572
2300,1186,311,1.633745434069869,3.205503029302406,11.031058179426417,11.650461194607209,161,339,141,169,34512,294,3.4212216897314365
2400,1203,323,1.6256166664962908,3.243344871187005,11.302701103835654,11.92695209918349,157,343,139,162,34318,289,3.537994785582921
2500,1194,294,1.6168550943460045,3.266076416076934,11.28977696342021,11.908879293268294,160,340,145,177,33895,266,3.5273444209948432
2600,1202,294,1.611907581717414,3.242721661603939,11.197460924058694,11.877224288914913,158,342,144,175,34051,285,3.5105360051438232
2700,1214,287,1.6077779478149494,3.248471409124733,11.042764731975758,11.96167869579017,157,342,145,178,33799,301,3.6008026726173465
2800,1218,270,1.601334482314692,3.2408912822094584,11.297479085173217,11.854696982943485,157,342,146,182,33514,290,3.6210494217219833
2900,1208,269,1.6006383697632953,3.2524827031498442,11.086136942443222,11.936436560763065,156,343,146,187,33417,293,3.529719485417301
3000,1208,274,1.5951908423345194,3.2428095688103418,11.10999633622773,11.92616742856186,156,343,147,190,33301,310,3.621701006077688
3100,1210,243,1.5926953795363767,3.2600448652883296,11.167077307331917,11.916740628533733,156,343,148,196,32604,311,3.5624638245260987
3200,1205,272,1.592260405758469,3.247119486690276,11.24358676087415,11.75308319126859,154,346,146,189,32954,316,3.405700781825212
3300,1177,248,1.595476776713899,3.2850067322878225,10.87652311910669,11.614985531612701,154,345,146,190,32102,332,3.3383244290221423
3400,1212,256,1.5841371001286264,3.2555188198728446,10.939186561405192,11.86752311161839,155,345,147,198,32495,353,3.530188059011542
3500,1197,260,1.572729664103078,3.2772501322799115,10.810976993216519,11.795189425176593,154,345,147,197,32346,329,3.482852204643497
3600,1219,246,1.567377777250118,3.264089070063575,10.831274973920467,11.711339644030438,157,342,149,205,32332,296,3.4836270363893185
3700,1223,250,1.56088475343372,3.252613233594335,10.845721316568238,11.865880821521364,156,344,151,208,32312,328,3.5835165487292384
3800,1219,231,1.5602304427359641,3.247121888974579,10.946138850029767,11.829657170906057,151,348,146,195,32065,313,3.601941161113282
3900,1215,230,1.5693226491945007,3.26106811572768,10.984963329317106,11.979487852717144,152,347,147,203,32040,312,3.655303492736719
4000,1236,242,1.5532365702578952,3.249008406577445,11.047853392636501,12.026141805053964,152,347,147,207,32132,307,3.605318621252137
4100,1253,239,1.5461693102250735,3.241865174347985,11.037034515387356,12.082633404729995,152,347,147,207,32692,315,3.801855109288636
4200,1231,252,1.5453252588398843,3.254310541143841,10.899522006779737,12.08353658853569,151,348,147,206,32433,287,3.7857393815419855
4300,1235,224,1.5451825337959948,3.2430332329572447,10.858555402223926,12.098634848124453,151,348,147,207,32265,329,3.822432027394431
4400,1256,222,1.5419373575569213,3.2524888895177133,11.178312864493169,12.4379661415226,150,349,145,208,32433,307,4.008201538509901
4500,1268,206,1.5447975609388471,3.233922969779235,11.406139254007003,12.346927440699583,149,350,144,204,32595,302,3.9857483022376154
4600,1265,202,1.552019768326813,3.2162998454860783,11.162239472529775,12.146489873029514,149,350,144,205,32353,317,3.8857696353373115
4700,1287,203,1.5314930403106266,3.207273488763485,11.283868388203954,12.259656170982034,148,351,143,206,32737,306,4.040160496515088
4800,1280,214,1.5290417461222996,3.222592329603208,11.22934138943954,12.22282019248582,150,349,145,216,32928,312,4.001883752064958
4900,1288,233,1.5258885103312172,3.206395497397634,11.136325813585215,12.256352713693435,149,351,143,207,33425,313,4.090080434286587
5000,1293,196,1.5233196252465284,3.206442280234791,11.094113700801518,12.156570784922785,148,351,142,204,33049,288,4.053482599651697
5100,1294,215,1.5222475740631967,3.2006717795863717,11.27311112041091,12.23894876638369,150,349,144,210,33501,301,4.167593134772449
5200,1281,208,1.5158054379730066,3.2004119913625027,11.227554822296995,12.258703878682871,147,352,140,202,33063,297,4.1324449597662
5300,1285,209,1.5269133282383565,3.2077904362275587,11.254181635101181,12.375169922661257,147,352,141,205,33071,321,4.14340242623298
5400,1285,233,1.513447552495322,3.2022719752916435,11.525250029428802,12.352124975387648,150,349,143,212,33268,288,4.086667014428309
5500,1298,220,1.5151369446655152,3.173660015369009,11.08789621797684,12.169334936247528,148,351,141,210,33430,316,4.08719701399541
5600,1296,222,1.5114159402945133,3.1846710634408724,11.188915961631167,12.23298695752861,149,350,142,215,33510,306,4.16968195321206
5700,1298,224,1.5152897561311625,3.1879533991738906,11.078716792874866,12.079066337555963,150,350,144,218,33357,295,4.033064284936904
5800,1277,233,1.5132170401431762,3.1863764201261504,11.021229904190438,11.958198736788885,148,351,143,214,33318,276,3.937148189722174
5900,1294,203,1.511459862792276,3.1955719613763716,10.941869928406762,12.147649638531592,146,353,141,210,32963,302,4.016326238690145
6000,1301,189,1.5106945544733845,3.1897380718727737,11.458318177543823,12.329280644119113,147,353,141,213,33165,276,4.240139557271265
6100,1321,194,1.5015670698106378,3.1614448151569716,11.516564513153192,12.346082386585877,146,353,141,214,33082,293,4.192014724930401
6200,1289,190,1.5025967697712628,3.196827645396807,11.45547986837435,12.203440981189724,145,354,140,213,33103,282,4.123444489443724
6300,1314,200,1.4968189311081759,3.1848668171032317,11.409827869638246,12.271948340560828,148,351,143,223,33069,298,4.142978463379028
6400,1298,230,1.5035479784561636,3.2001968972828867,11.235679561001415,12.161655095989527,146,353,142,219,33430,301,4.0278364256114285
6500,1300,201,1.4988902221681133,3.180742674664143,11.227119644795605,12.083354035358898,147,353,142,224,33296,260,4.097292407926433
6600,1307,186,1.492627392212775,3.1980042476986075,11.485883780080439,12.16970913262487,145,354,140,217,32903,299,4.106968782900791
6700,1296,180,1.4931524479262634,3.1944894063840987,11.289325041068478,12.010658857414178,144,356,138,219,32690,309,4.02885599546776
6800,1305,188,1.5007982251213137,3.1901137594877698,11.2088405295367,12.073057852298273,145,354,141,221,32945,324,4.015465210308518
6900,1309,174,1.4975549081428638,3.1936321234745897,11.502673332336434,12.277694908844298,142,357,140,216,32922,295,4.209725955278538
