FROM,Cap,Role,TO,Distance
129,4.33,class Agent.Leader,233,1
340,1.67,class Agent.Leader,394,2
340,1.67,class Agent.Leader,257,1
340,1.67,class Agent.Leader,285,1
408,2.00,class Agent.Leader,12,1
408,2.00,class Agent.Leader,458,1
408,2.00,class Agent.Leader,2,1
408,2.00,class Agent.Leader,412,1
408,2.00,class Agent.Leader,476,2
265,2.00,class Agent.Leader,284,1
265,2.00,class Agent.Leader,67,1
265,2.00,class Agent.Leader,157,1
37,4.33,class Agent.Leader,93,1
37,4.33,class Agent.Leader,1,1
37,4.33,class Agent.Leader,414,1
37,4.33,class Agent.Leader,379,1
37,4.33,class Agent.Leader,170,1
357,3.33,class Agent.Leader,43,1
357,3.33,class Agent.Leader,156,1
357,3.33,class Agent.Leader,51,1
357,3.33,class Agent.Leader,128,1
357,3.33,class Agent.Leader,194,1
293,1.00,class Agent.Leader,176,2
293,1.00,class Agent.Leader,398,2
293,1.00,class Agent.Leader,170,2
328,2.00,class Agent.Leader,325,1
328,2.00,class Agent.Leader,232,2
328,2.00,class Agent.Leader,82,2
328,2.00,class Agent.Leader,377,1
328,2.00,class Agent.Leader,441,1
490,2.67,class Agent.Leader,488,1
490,2.67,class Agent.Leader,18,1
490,2.67,class Agent.Leader,363,2
419,3.33,class Agent.Leader,131,2
419,3.33,class Agent.Leader,246,1
419,3.33,class Agent.Leader,465,1
362,3.33,class Agent.Leader,141,2
362,3.33,class Agent.Leader,477,1
362,3.33,class Agent.Leader,82,1
362,3.33,class Agent.Leader,235,1
331,3.00,class Agent.Leader,131,1
331,3.00,class Agent.Leader,452,2
331,3.00,class Agent.Leader,480,2
331,3.00,class Agent.Leader,26,1
66,2.67,class Agent.Leader,310,1
66,2.67,class Agent.Leader,389,1
66,2.67,class Agent.Leader,99,2
66,2.67,class Agent.Leader,232,1
66,2.67,class Agent.Leader,317,1
461,4.00,class Agent.Leader,286,1
461,4.00,class Agent.Leader,240,1
461,4.00,class Agent.Leader,269,2
461,4.00,class Agent.Leader,213,1
263,3.33,class Agent.Leader,121,1
263,3.33,class Agent.Leader,229,1
263,3.33,class Agent.Leader,492,1
263,3.33,class Agent.Leader,194,1
347,2.67,class Agent.Leader,133,1
347,2.67,class Agent.Leader,13,1
183,1.67,class Agent.Leader,100,1
183,1.67,class Agent.Leader,115,2
183,1.67,class Agent.Leader,73,1
183,1.67,class Agent.Leader,337,1
183,1.67,class Agent.Leader,8,2
494,3.33,class Agent.Leader,256,2
494,3.33,class Agent.Leader,47,1
494,3.33,class Agent.Leader,250,1
494,3.33,class Agent.Leader,189,1
62,1.67,class Agent.Leader,460,1
62,1.67,class Agent.Leader,497,2
62,1.67,class Agent.Leader,276,1
62,1.67,class Agent.Leader,379,2
450,3.00,class Agent.Leader,483,1
450,3.00,class Agent.Leader,122,1
450,3.00,class Agent.Leader,346,2
188,2.67,class Agent.Leader,303,1
188,2.67,class Agent.Leader,132,1
188,2.67,class Agent.Leader,456,1
188,2.67,class Agent.Leader,254,1
188,2.67,class Agent.Leader,363,2
395,4.00,class Agent.Leader,413,1
395,4.00,class Agent.Leader,1,2
395,4.00,class Agent.Leader,378,2
395,4.00,class Agent.Leader,388,1
264,2.67,class Agent.Leader,203,1
264,2.67,class Agent.Leader,298,2
264,2.67,class Agent.Leader,121,1
264,2.67,class Agent.Leader,305,1
181,2.67,class Agent.Leader,386,1
181,2.67,class Agent.Leader,452,2
181,2.67,class Agent.Leader,6,1
181,2.67,class Agent.Leader,69,2
313,3.33,class Agent.Leader,394,2
313,3.33,class Agent.Leader,373,1
313,3.33,class Agent.Leader,254,2
76,2.67,class Agent.Leader,294,1
76,2.67,class Agent.Leader,271,2
76,2.67,class Agent.Leader,228,1
76,2.67,class Agent.Leader,50,1
244,3.33,class Agent.Leader,258,2
244,3.33,class Agent.Leader,253,2
244,3.33,class Agent.Leader,171,1
360,2.33,class Agent.Leader,397,1
360,2.33,class Agent.Leader,197,1
360,2.33,class Agent.Leader,393,2
360,2.33,class Agent.Leader,233,2
227,3.67,class Agent.Leader,179,1
227,3.67,class Agent.Leader,77,1
227,3.67,class Agent.Leader,424,2
486,2.67,class Agent.Leader,61,1
486,2.67,class Agent.Leader,413,1
486,2.67,class Agent.Leader,168,2
193,2.00,class Agent.Leader,242,1
