tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member
33000,1468,0,1.4746798440172046,2.827003830156031,4.21872733911932,8.526742157560681,159,341,0,0,36518,0,83,5300
33100,1430,0,1.485263845252696,2.8274537129405943,4.322844586111435,8.547997399248993,164,336,0,0,37490,0,109,5358
33200,1538,0,1.4926229535695776,2.87751110000579,4.211836494448989,8.532481431811332,168,332,0,0,39127,0,101,5644
33300,1483,0,1.4749771343184253,2.8177307283551283,4.133179445531249,8.426807417596507,172,328,0,0,38460,0,76,5523
33400,1548,0,1.46876815660501,2.8088394231747227,4.637615708378715,8.903747852186545,178,322,0,0,39693,0,97,5695
33500,1473,0,1.4780698295423536,2.8548443453223307,4.0025729327633375,8.30018160834632,164,336,0,0,36278,0,67,5231
33600,1481,0,1.4763003972742335,2.824496505817797,4.534733290221443,8.762909113609268,170,330,0,0,39927,0,137,5707
33700,1530,0,1.4676574297969456,2.825325968928133,4.44914470075991,8.654261017366373,169,331,0,0,39204,0,88,5665
33800,1503,0,1.468082964696756,2.809769339670962,4.401874434840301,8.585431544953561,174,326,0,0,40224,0,99,5783
33900,1557,0,1.4599423758306818,2.839425368346078,4.875977201851292,9.050584331193097,177,323,0,0,39145,0,123,5597
34000,1483,0,1.4770350390921183,2.77070202963017,4.12963841519527,8.37713318417079,157,343,0,0,37308,0,78,5374
34100,1453,0,1.4637195763377655,2.8408639881761584,4.105855625680968,8.342909675382229,171,329,0,0,39102,0,112,5605
34200,1583,0,1.4719513758550948,2.8476345993711734,4.911269901900191,9.105032995938057,177,323,0,0,40883,0,116,5865
34300,1541,0,1.4692281663313596,2.848158946568087,4.416220149270412,8.73618045886653,166,334,0,0,39488,0,76,5689
34400,1511,0,1.4565219573842283,2.8230093131026965,4.276884900767561,8.554239490062717,165,335,0,0,38259,0,98,5436
34500,1468,0,1.4638639411895826,2.8173046866798934,3.9983006155161194,8.262396273253927,168,332,0,0,37782,0,99,5501
34600,1517,0,1.4572075988997415,2.8456927410208976,3.9903633708723323,8.25221074742851,172,328,0,0,39281,0,77,5608
34700,1507,0,1.464582042712144,2.880983082553505,4.216186618523701,8.532312266311093,173,327,0,0,38396,0,81,5486
34800,1503,0,1.4575898810121921,2.8356234651532115,4.521306493453738,8.650151792592428,154,346,0,0,38926,0,128,5619
34900,1479,0,1.4679756396845198,2.844211171738366,3.9926896012590394,8.308306675197144,174,326,0,0,37776,0,93,5411
35000,1494,0,1.4646340356145173,2.8393867650031708,4.409466625254149,8.593863751474778,166,334,0,0,39870,0,123,5703
35100,1521,0,1.466021095186419,2.8501070451486354,4.3879564544309435,8.664391317653845,172,328,0,0,39497,0,112,5669
35200,1508,0,1.440431364796798,2.8442048176249,4.311077051577064,8.473086086662807,165,335,0,0,39327,0,106,5644
35300,1530,0,1.4550634069282717,2.8586083155020394,4.235644176783697,8.504909694003445,166,334,0,0,38335,0,87,5539
35400,1418,0,1.4454963182737268,2.828922369499685,3.7542590380518828,7.995206072237097,170,330,0,0,36496,0,83,5209
35500,1553,0,1.4476309683367068,2.82867521175704,4.732573483415396,8.873380549849898,174,326,0,0,40400,0,117,5798
35600,1568,0,1.4459829262363877,2.8204605749770013,5.294073312258646,9.43117931898987,172,328,0,0,40768,0,135,5857
35700,1514,0,1.4502857073890043,2.8489442382728294,4.285905889515496,8.537564773165506,159,341,0,0,38046,0,87,5501
35800,1504,0,1.4472879256560933,2.862174053426874,4.501810608788401,8.714465852453698,176,324,0,0,39845,0,111,5697
35900,1514,0,1.4384683287605242,2.8283001626646365,4.87796195871025,9.069713216711643,161,339,0,0,38566,0,114,5531
36000,1468,0,1.4420667290961378,2.8186585122537893,4.348053500450185,8.577226623660122,167,333,0,0,38601,0,106,5544
36100,1495,0,1.4348049481317355,2.8170108595545957,4.493213240250082,8.643167954650224,168,332,0,0,38698,0,92,5519
36200,1499,0,1.443839855249686,2.832616501170281,4.724036557924817,8.91684376241662,168,332,0,0,38568,0,100,5589
36300,1520,0,1.437759441037771,2.8512538358302417,4.6797067791552465,8.834164426789078,168,332,0,0,39559,0,132,5719
36400,1500,0,1.4386660443389476,2.8124215272988295,4.586235947833822,8.725695628470886,159,341,0,0,39326,0,114,5634
36500,1447,0,1.4339072450628603,2.8333417990718255,4.471763606225716,8.616902837024107,161,339,0,0,37916,0,132,5434
36600,1489,0,1.4420981156327388,2.870255618617632,5.09029123448655,9.280119260212794,168,332,0,0,38630,0,134,5538
36700,1479,0,1.4366069144107974,2.8544144263148596,4.332959967828293,8.503393487673783,183,317,0,0,39504,0,120,5703
36800,1524,0,1.437308158781213,2.8367883432010292,4.645385417965721,8.829214281639125,168,332,0,0,39276,0,99,5618
36900,1540,0,1.4339281284839323,2.835559847515411,4.583021619762207,8.765317147158823,168,332,0,0,39330,0,100,5680
37000,1496,0,1.4417346988295796,2.858025313303453,4.8106935727933555,9.006646019552782,167,333,0,0,39193,0,123,5600
37100,1481,0,1.4322812275073975,2.875815117335316,4.459131666797337,8.713643765691952,160,340,0,0,38632,0,102,5592
37200,1507,0,1.4361464985584627,2.8134256626511154,4.734244677155321,8.863524617772535,164,336,0,0,39089,0,124,5590
37300,1457,0,1.4334475669249078,2.8455994302000174,4.366746642477329,8.537501083523063,178,322,0,0,37874,0,106,5435
37400,1473,0,1.4361357779750576,2.8363168600609363,4.596057766931124,8.732132558137776,168,332,0,0,38721,0,142,5538
37500,1501,0,1.4311486106678115,2.824066019856713,4.34077129901624,8.441990480427927,163,337,0,0,39037,0,101,5640
37600,1488,0,1.4186506723706622,2.7966156375391136,4.999790937951945,8.960554272516994,169,331,0,0,39869,0,141,5680
37700,1486,0,1.4241530523744703,2.8482218413218288,4.748571062746376,8.884518766803906,171,329,0,0,38936,0,138,5651
37800,1476,0,1.4208090534466544,2.854632177879846,4.2475768271056555,8.497888593221225,170,330,0,0,37898,0,88,5378
37900,1478,0,1.4080767030461165,2.843016308549067,4.244158456762061,8.384662953503572,155,345,0,0,37028,0,79,5303
38000,1468,0,1.4133740352309099,2.7944865824532092,3.966956803371752,8.11444853564031,169,331,0,0,37033,0,67,5369
38100,1470,0,1.4186548545181552,2.811040206717712,4.235352323611184,8.39092067570243,161,339,0,0,37718,0,77,5386
38200,1487,0,1.4234732591776915,2.798241975626096,4.458837550013242,8.54925173133872,168,332,0,0,39074,0,155,5583
38300,1454,0,1.4262844727775574,2.789609008913236,4.515379263117401,8.589931127587088,162,338,0,0,37629,0,109,5439
38400,1458,0,1.4347654561087544,2.8034358289833934,4.435062284246729,8.579784066180133,171,329,0,0,37692,0,85,5384
38500,1453,0,1.4280329527535363,2.8108131218577803,4.537007825840107,8.607908185821092,169,331,0,0,38580,0,152,5572
38600,1459,0,1.4310458502330579,2.833302246165215,4.746370054095529,8.883945947788893,167,333,0,0,38825,0,115,5519
38700,1541,0,1.430794821817056,2.8255973447493274,5.017621433535781,9.151483998927516,173,327,0,0,40122,0,148,5784
