tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
2300,67,1,1.9234304037945649,1.4700714285714287,5.775166666666666,7.251380952380953,46,83,39,112,1,139
2400,56,3,1.9012234372232997,1.5508333333333335,5.134333333333333,6.812333333333333,46,83,30,87,2,124
2500,60,3,1.9253175337995654,1.4106904761904764,5.902,6.9504166666666665,47,82,44,108,3,143
2600,65,0,1.88618518600339,1.6138181818181823,6.345417748917747,7.138817099567099,46,83,45,102,3,118
2700,63,2,1.9091052996704594,1.3073333333333337,4.985722222222224,6.721833333333332,46,83,43,109,0,145
2800,55,3,1.9382346664066201,1.4766071428571428,5.408214285714284,6.609833333333334,46,83,39,91,3,112
2900,39,3,1.9001355508577091,1.642,5.239083333333333,5.505416666666667,44,85,32,60,0,80
3000,54,1,1.9620447566740395,1.4634285714285713,5.170642857142858,6.874785714285715,46,83,43,87,6,109
3100,56,3,1.9607456811103454,1.6102023809523809,5.980261904761903,6.852619047619047,47,82,41,95,3,124
3200,68,0,1.93581793333031,1.3753095238095239,5.190119047619047,6.962714285714285,47,82,42,113,4,135
3300,61,2,1.91489982347865,1.7322222222222226,5.6178888888888885,7.407166666666668,46,83,45,97,0,125
3400,59,4,1.919116649431137,1.443809523809524,5.1314761904761905,6.572690476190476,46,83,45,93,2,114
3500,54,2,1.9178479623827875,1.6844920634920633,5.0903253968253965,6.78784126984127,46,83,41,93,1,117
3600,50,2,1.9201811402317315,1.6120476190476192,3.8233333333333324,6.276380952380952,43,86,45,77,2,95
3700,36,1,1.879475589733301,1.6015000000000004,4.910333333333334,5.741666666666666,45,84,25,53,0,92
3800,59,0,1.8959936422749812,1.4698015873015877,5.82745634920635,6.779531746031746,47,82,39,98,4,142
3900,60,2,1.9325053460421648,1.237261904761905,3.936690476190476,6.461261904761905,46,83,34,91,1,137
