Agent ID,Area ID,x,y,Resource: 1,Resource: 2,Resource: 3,Resouce Average,Leader Evaluation,Member Evaluation,Allocated Subtasks,Refused Subtasks,Member Count,Leader Count
212,0,43,49,1,1,4,2.0,0.447131440662267,0.2615440131924723,81,0,39610,110391
433,0,29,46,2,1,3,2.0,0.4992879679976476,0.1549053066858577,73,0,36185,113816
167,0,26,28,2,3,4,3.0,0.4684560204428571,0.18093978887992668,162,0,44724,105277
481,0,9,22,2,4,1,2.3333333333333335,0.49875021073592823,0.1885345254471572,68,0,34563,115438
399,0,49,24,2,4,4,3.3333333333333335,0.4192390921983171,0.10201963013976738,114,0,37006,112995
374,0,27,28,1,4,1,2.0,0.39583629371561696,0.142584936253845,306,4,46050,103951
139,0,3,16,1,1,5,2.3333333333333335,0.39825873354402624,0.20082107712803343,9662,50,116372,33629
493,0,36,8,2,1,4,2.3333333333333335,0.35501822327417365,0.11708453012083106,85,0,33139,116862
199,0,30,21,4,3,1,2.6666666666666665,0.43913841803868203,0.2453886484563318,91,0,39048,110953
165,0,2,40,3,1,4,2.6666666666666665,0.42115121433433644,0.20763652967366983,68,0,32982,117019
9,0,28,7,1,1,5,2.3333333333333335,0.37457375527103415,0.15318302223446842,6214,8,85052,64949
93,0,22,2,3,4,5,4.0,0.4738594944842884,0.2798570184368614,129,0,39779,110222
315,0,13,36,1,2,2,1.6666666666666667,0.5094003107909604,0.41636432680009944,8886,46,138248,11753
308,0,42,12,1,1,3,1.6666666666666667,0.5469257050630085,0.15692637913800428,3246,6,80331,69670
20,0,33,45,2,2,1,1.6666666666666667,0.5822353258201698,0.20814201141827227,156,0,44361,105640
288,0,10,25,1,1,1,1.0,0.4285447766037627,0.20059235055230942,575,0,49636,100365
196,0,25,25,3,1,3,2.3333333333333335,0.4690818889603623,0.19797830953940065,184,0,44156,105845
50,0,28,29,1,4,1,2.0,0.423709517963221,0.16467347448534847,68,0,32728,117273
132,0,0,24,4,4,2,3.3333333333333335,0.5382576731856551,0.26903773897623,200,0,51120,98881
341,0,48,1,2,2,4,2.6666666666666665,0.5081356123237853,0.2001698801863203,88,0,38178,111823
354,0,40,13,3,1,4,2.6666666666666665,0.48311684823832923,0.22401786642456745,152,0,50871,99130
404,0,41,9,3,3,1,2.3333333333333335,0.48017584284794945,0.11920319331862085,98,0,39508,110493
366,0,11,26,3,3,1,2.3333333333333335,0.5221953528900688,0.17571824032886754,200,0,51049,98952
375,0,9,0,1,2,4,2.3333333333333335,0.5376031939831654,0.25798846946907766,119,0,36193,113808
152,0,43,18,5,4,1,3.3333333333333335,0.523661757524876,0.0704330737560138,158,0,39792,110209
64,0,29,38,5,1,1,2.3333333333333335,0.5189157665160763,0.17907562510898756,9126,48,118553,31448
123,0,24,20,2,3,1,2.0,0.40725090025479765,0.2743167962635242,117,0,39285,110716
419,0,39,8,5,1,4,3.3333333333333335,0.37477380615067096,0.22941001497765806,157,0,45079,104922
92,0,40,16,2,2,2,2.0,0.462996005521565,0.19464618740393644,130,0,42918,107083
55,0,14,8,2,5,1,2.6666666666666665,0.5113380078685184,0.164934242574257,94,0,39770,110231
305,0,18,33,3,3,3,3.0,0.402853752609798,0.18605127414816092,157,0,44365,105636
45,0,6,35,1,2,1,1.3333333333333333,0.33687015752105515,0.15596327944240407,608,0,54318,95683
