tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count
6400,815,38,6.564567902755719,1.7106923177441768,31.64030317175942,39.082711990237144,97,403
6500,739,22,6.540832799697746,1.8861662073306824,30.087694516010277,37.186741196668805,81,419
6600,785,24,6.49286703219473,1.7080159569532656,30.442059287934295,37.83952988166803,84,416
6700,760,19,6.459073942054385,1.86299117403065,29.63519183156024,36.72918003779847,94,406
6800,781,29,6.505205932333626,1.6532502064928547,31.02650885715593,37.610844563932794,90,410
6900,806,26,6.532387242304627,1.7796403490300552,29.543548297290954,37.10495236952589,92,408
7000,802,26,6.563910331857824,1.7424837688541257,31.26910354162521,36.889340609339044,91,409
7100,774,23,6.369244659360349,1.7300184702638284,28.788497007292673,36.472023304997386,93,407
7200,798,26,6.441703374083131,1.8078255904312435,29.138145500784034,36.76638153921243,93,407
7300,791,18,6.394115522363213,1.9717509851259856,32.05906644907378,36.376575150339875,82,418
7400,773,39,6.429627513448968,1.737896325896327,30.06051372238871,37.5326846070596,85,415
7500,779,16,6.414150238919142,1.7613857551229697,30.858138440239784,38.34678320468248,85,415
7600,777,34,6.397157889609129,1.630804163973282,31.086245469399874,38.0751539661319,89,411
7700,755,24,6.434472258401027,1.7163699386269065,30.14392399112753,37.187927460439475,94,406
7800,753,22,6.276550287398544,1.824882017492313,31.473037060978214,37.37171264601412,80,420
7900,733,38,6.417463881229079,1.7358311582208683,30.228975296762084,37.79556346023257,89,411
8000,785,18,6.389618947956405,1.815774834212918,31.989187972493617,38.16929940238641,89,411
8100,779,40,6.413302851410759,1.685217008868325,28.74085008047506,37.19179559621667,96,404
8200,737,32,6.282942213478125,1.880860697051489,29.896052392653804,37.10229470250252,86,414
8300,774,34,6.432655980224206,1.767198855066504,29.78083677515297,36.917992998831224,88,412
8400,793,29,6.461997233523107,1.957704877380961,31.56221616004393,37.552389350200905,91,409
8500,819,39,6.427049228877223,1.7165273457622556,31.88854199657411,38.31252779564777,86,414
8600,770,39,6.485032778773879,1.83411098868452,29.63624752616664,36.70755818364642,82,418
8700,766,6,6.40456394047748,1.875970002220003,28.807950563325562,35.20132965645466,90,410
8800,737,12,6.301396295800612,1.9447886998622306,26.946745274333527,34.498815065653304,83,417
8900,757,20,6.265118661271252,1.7694793323291802,29.678339856479937,35.93968049674784,85,415
9000,791,20,6.2183882767854834,1.8630998927113478,32.05157515343273,38.163967579719895,86,414
9100,762,17,6.215837477698158,1.7687357772946033,28.106987638994998,35.94077567612126,81,419
9200,753,20,6.215665493414007,2.0039706884962314,28.730566738258304,35.018671042193084,90,410
9300,820,16,6.298903540336583,1.692939640424936,28.565456358184303,36.06097287353168,89,411
9400,779,17,6.246092939535293,1.760402492631208,28.665638575992297,35.420779881238474,85,415
9500,825,19,6.156620254709691,1.6768771060380978,29.725847179909852,36.671268663139415,86,414
9600,822,20,6.206060729058175,1.760508641255548,29.27661273886934,35.36910555229943,97,403
9700,813,30,6.168505884738742,1.7187320106364246,31.653038694965165,39.169391337420755,91,409
9800,787,31,6.2000578338894545,1.8014220362970386,31.242574439449456,36.868951354201364,86,414
9900,805,14,6.216248006842802,1.748534912928491,31.317657388320313,36.702932004313205,86,414
10000,768,18,6.111665996467269,1.9374292357968848,29.207481296481284,35.21140679989945,90,410
