AgentID,Cap,Role
285,2.33,class Agent.Leader,0
187,3.33,class Agent.Leader,0
318,2.00,class Agent.Leader,0
155,1.67,class Agent.Leader,0
259,3.00,class Agent.Leader,0
466,2.33,class Agent.Leader,0
297,2.33,class Agent.Leader,0
20,1.67,class Agent.Leader,0
16,2.00,class Agent.Leader,0
265,2.00,class Agent.Leader,0
359,1.33,class Agent.Leader,0
428,2.67,class Agent.Leader,0
244,3.33,class Agent.Leader,0
152,3.33,class Agent.Leader,0
396,2.67,class Agent.Leader,0
373,2.67,class Agent.Leader,0
463,2.67,class Agent.Leader,0
202,2.33,class Agent.Leader,0
253,2.00,class Agent.Leader,0
260,2.00,class Agent.Leader,0
375,2.33,class Agent.Leader,0
499,2.67,class Agent.Leader,0
308,1.67,class Agent.Leader,0
248,2.00,class Agent.Leader,0
211,3.00,class Agent.Leader,0
289,1.33,class Agent.Leader,0
420,3.33,class Agent.Leader,0
196,2.33,class Agent.Leader,0
382,1.67,class Agent.Leader,0
242,3.00,class Agent.Leader,0
366,2.33,class Agent.Leader,0
369,2.00,class Agent.Leader,0
132,3.33,class Agent.Leader,0
128,2.67,class Agent.Leader,0
113,3.33,class Agent.Leader,0
293,1.00,class Agent.Leader,0
487,2.00,class Agent.Leader,0
42,2.00,class Agent.Leader,0
28,2.33,class Agent.Leader,0
54,3.33,class Agent.Leader,0
325,3.33,class Agent.Leader,0
327,1.33,class Agent.Leader,0
352,3.00,class Agent.Leader,0
376,2.33,class Agent.Leader,0
342,2.33,class Agent.Leader,0
37,4.33,class Agent.Leader,0
304,2.00,class Agent.Leader,0
479,2.33,class Agent.Leader,0
495,4.33,class Agent.Leader,0
147,3.67,class Agent.Leader,0
183,1.67,class Agent.Leader,0
415,2.33,class Agent.Leader,0
294,2.33,class Agent.Leader,0
181,2.67,class Agent.Leader,0
228,2.67,class Agent.Leader,0
73,2.33,class Agent.Leader,0
60,3.00,class Agent.Leader,0
192,3.00,class Agent.Leader,0
439,3.33,class Agent.Leader,0
46,3.00,class Agent.Leader,0
110,2.33,class Agent.Leader,0
440,1.33,class Agent.Leader,0
221,3.00,class Agent.Leader,0
399,3.33,class Agent.Leader,0
465,2.33,class Agent.Leader,0
120,3.33,class Agent.Leader,0
262,2.33,class Agent.Leader,0
387,1.67,class Agent.Leader,0
292,2.67,class Agent.Leader,0
90,3.33,class Agent.Leader,0
231,1.67,class Agent.Leader,0
142,3.67,class Agent.Leader,0
41,1.00,class Agent.Leader,0
404,2.33,class Agent.Leader,0
455,2.00,class Agent.Leader,0
444,2.00,class Agent.Leader,0
362,3.33,class Agent.Leader,0
119,2.67,class Agent.Leader,0
301,2.33,class Agent.Leader,0
456,3.33,class Agent.Leader,0
333,1.33,class Agent.Leader,0
276,1.67,class Agent.Leader,0
58,3.67,class Agent.Leader,0
390,2.67,class Agent.Leader,0
212,2.00,class Agent.Leader,0
3,2.67,class Agent.Leader,0
0,3.33,class Agent.Leader,0
474,3.67,class Agent.Leader,0
208,1.67,class Agent.Leader,0
137,3.00,class Agent.Leader,0
51,3.00,class Agent.Leader,0
74,2.33,class Agent.Leader,0
127,2.00,class Agent.Leader,0
109,2.00,class Agent.Leader,0
316,3.00,class Agent.Leader,0
170,3.67,class Agent.Leader,0
300,1.33,class Agent.Leader,0
414,3.00,class Agent.Leader,0
102,2.67,class Agent.Leader,0
67,2.33,class Agent.Leader,0
114,2.33,class Agent.Leader,0
299,2.67,class Agent.Leader,0
9,2.33,class Agent.Leader,0
467,2.67,class Agent.Leader,0
422,2.33,class Agent.Leader,0
108,2.67,class Agent.Leader,0
134,3.33,class Agent.Member,0
383,3.33,class Agent.Member,0
75,4.00,class Agent.Member,0
412,3.33,class Agent.Member,0
458,4.33,class Agent.Member,0
38,3.33,class Agent.Member,0
264,2.67,class Agent.Member,0
168,3.67,class Agent.Member,0
235,3.33,class Agent.Member,0
156,2.67,class Agent.Member,0
453,3.67,class Agent.Member,0
165,2.67,class Agent.Member,0
252,3.67,class Agent.Member,0
336,3.33,class Agent.Member,0
448,3.00,class Agent.Member,0
180,4.00,class Agent.Member,0
321,4.00,class Agent.Member,0
335,3.67,class Agent.Member,0
15,4.67,class Agent.Member,0
121,4.00,class Agent.Member,0
95,3.33,class Agent.Member,0
261,4.00,class Agent.Member,0
79,3.00,class Agent.Member,0
209,2.00,class Agent.Member,0
498,3.00,class Agent.Member,0
101,4.00,class Agent.Member,0
417,3.33,class Agent.Member,0
263,3.33,class Agent.Member,0
213,4.00,class Agent.Member,0
40,3.67,class Agent.Member,0
319,3.00,class Agent.Member,0
188,2.67,class Agent.Member,0
199,2.67,class Agent.Member,0
488,4.00,class Agent.Member,0
356,2.67,class Agent.Member,0
408,2.00,class Agent.Member,0
76,2.67,class Agent.Member,0
126,3.33,class Agent.Member,0
470,4.00,class Agent.Member,0
346,2.67,class Agent.Member,0
425,3.33,class Agent.Member,0
461,4.00,class Agent.Member,0
277,3.00,class Agent.Member,0
206,2.33,class Agent.Member,0
6,3.00,class Agent.Member,0
286,4.33,class Agent.Member,0
278,2.00,class Agent.Member,0
480,4.33,class Agent.Member,0
200,3.00,class Agent.Member,0
80,3.33,class Agent.Member,0
107,3.00,class Agent.Member,0
34,3.00,class Agent.Member,0
269,2.33,class Agent.Member,0
166,3.33,class Agent.Member,0
164,3.00,class Agent.Member,0
494,3.33,class Agent.Member,0
374,2.00,class Agent.Member,0
332,2.00,class Agent.Member,0
296,3.00,class Agent.Member,0
443,3.00,class Agent.Member,0
62,1.67,class Agent.Member,0
153,3.33,class Agent.Member,0
169,3.67,class Agent.Member,0
219,2.67,class Agent.Member,0
254,3.00,class Agent.Member,0
25,4.33,class Agent.Member,0
84,3.00,class Agent.Member,0
104,3.00,class Agent.Member,0
189,2.67,class Agent.Member,0
224,3.67,class Agent.Member,0
70,3.67,class Agent.Member,0
279,3.33,class Agent.Member,0
173,4.00,class Agent.Member,0
445,4.00,class Agent.Member,0
233,3.67,class Agent.Member,0
482,2.33,class Agent.Member,0
460,3.33,class Agent.Member,0
468,2.67,class Agent.Member,0
77,3.67,class Agent.Member,0
94,3.67,class Agent.Member,0
81,3.33,class Agent.Member,0
257,3.67,class Agent.Member,0
437,4.00,class Agent.Member,0
230,3.00,class Agent.Member,0
87,3.00,class Agent.Member,0
438,4.00,class Agent.Member,0
234,4.67,class Agent.Member,0
407,3.33,class Agent.Member,0
255,4.00,class Agent.Member,0
162,3.33,class Agent.Member,0
30,2.00,class Agent.Member,0
236,3.33,class Agent.Member,0
222,2.33,class Agent.Member,0
331,3.00,class Agent.Member,0
92,2.00,class Agent.Member,0
303,4.33,class Agent.Member,0
50,2.00,class Agent.Member,0
367,3.00,class Agent.Member,0
47,4.00,class Agent.Member,0
1,2.33,class Agent.Member,0
491,2.33,class Agent.Member,0
435,3.33,class Agent.Member,0
124,2.67,class Agent.Member,0
186,3.00,class Agent.Member,0
43,3.33,class Agent.Member,0
135,3.67,class Agent.Member,0
361,2.00,class Agent.Member,0
238,1.33,class Agent.Member,0
99,3.33,class Agent.Member,0
364,4.00,class Agent.Member,0
161,4.33,class Agent.Member,0
205,4.00,class Agent.Member,0
315,1.67,class Agent.Member,0
198,4.00,class Agent.Member,0
237,3.33,class Agent.Member,0
140,3.67,class Agent.Member,0
421,3.00,class Agent.Member,0
307,4.33,class Agent.Member,0
129,4.33,class Agent.Member,0
190,3.33,class Agent.Member,0
441,3.33,class Agent.Member,0
78,3.33,class Agent.Member,0
245,4.00,class Agent.Member,0
21,2.33,class Agent.Member,0
413,3.00,class Agent.Member,0
338,3.00,class Agent.Member,0
411,2.33,class Agent.Member,0
201,2.33,class Agent.Member,0
391,3.67,class Agent.Member,0
486,2.67,class Agent.Member,0
267,3.67,class Agent.Member,0
388,3.00,class Agent.Member,0
14,4.33,class Agent.Member,0
216,2.00,class Agent.Member,0
337,3.33,class Agent.Member,0
88,2.67,class Agent.Member,0
229,3.33,class Agent.Member,0
136,2.33,class Agent.Member,0
395,4.00,class Agent.Member,0
393,3.33,class Agent.Member,0
65,3.67,class Agent.Member,0
138,3.00,class Agent.Member,0
91,3.00,class Agent.Member,0
12,4.33,class Agent.Member,0
220,1.67,class Agent.Member,0
97,3.33,class Agent.Member,0
290,2.00,class Agent.Member,0
55,2.67,class Agent.Member,0
258,2.67,class Agent.Member,0
284,2.67,class Agent.Member,0
184,3.33,class Agent.Member,0
115,3.67,class Agent.Member,0
472,3.33,class Agent.Member,0
481,2.33,class Agent.Member,0
175,2.33,class Agent.Member,0
326,3.67,class Agent.Member,0
473,4.00,class Agent.Member,0
394,3.67,class Agent.Member,0
239,2.67,class Agent.Member,0
280,3.67,class Agent.Member,0
410,3.67,class Agent.Member,0
82,4.67,class Agent.Member,0
459,2.33,class Agent.Member,0
69,4.67,class Agent.Member,0
372,4.67,class Agent.Member,0
311,3.33,class Agent.Member,0
330,3.00,class Agent.Member,0
112,2.00,class Agent.Member,0
117,3.00,class Agent.Member,0
148,4.67,class Agent.Member,0
179,3.33,class Agent.Member,0
379,3.33,class Agent.Member,0
434,4.33,class Agent.Member,0
305,3.00,class Agent.Member,0
353,2.67,class Agent.Member,0
275,3.33,class Agent.Member,0
371,3.33,class Agent.Member,0
182,3.33,class Agent.Member,0
476,4.00,class Agent.Member,0
131,5.00,class Agent.Member,0
328,2.00,class Agent.Member,0
310,2.67,class Agent.Member,0
345,2.67,class Agent.Member,0
312,3.33,class Agent.Member,0
313,3.33,class Agent.Member,0
218,3.67,class Agent.Member,0
241,2.00,class Agent.Member,0
340,1.67,class Agent.Member,0
322,3.67,class Agent.Member,0
57,3.00,class Agent.Member,0
357,3.33,class Agent.Member,0
386,4.00,class Agent.Member,0
29,2.00,class Agent.Member,0
145,2.00,class Agent.Member,0
351,2.67,class Agent.Member,0
144,4.00,class Agent.Member,0
431,4.67,class Agent.Member,0
426,3.00,class Agent.Member,0
100,2.67,class Agent.Member,0
195,1.67,class Agent.Member,0
105,3.00,class Agent.Member,0
232,3.67,class Agent.Member,0
447,2.00,class Agent.Member,0
214,3.33,class Agent.Member,0
343,2.33,class Agent.Member,0
424,2.67,class Agent.Member,0
149,4.00,class Agent.Member,0
204,3.00,class Agent.Member,0
489,3.33,class Agent.Member,0
256,4.33,class Agent.Member,0
419,3.33,class Agent.Member,0
71,2.67,class Agent.Member,0
401,2.67,class Agent.Member,0
226,4.33,class Agent.Member,0
35,3.67,class Agent.Member,0
378,2.67,class Agent.Member,0
348,3.33,class Agent.Member,0
291,2.67,class Agent.Member,0
288,1.00,class Agent.Member,0
271,3.67,class Agent.Member,0
225,3.67,class Agent.Member,0
392,3.33,class Agent.Member,0
309,3.67,class Agent.Member,0
203,3.33,class Agent.Member,0
497,2.67,class Agent.Member,0
45,1.33,class Agent.Member,0
56,3.67,class Agent.Member,0
268,2.67,class Agent.Member,0
400,2.67,class Agent.Member,0
266,2.67,class Agent.Member,0
171,2.67,class Agent.Member,0
158,3.33,class Agent.Member,0
61,2.33,class Agent.Member,0
22,2.00,class Agent.Member,0
11,3.00,class Agent.Member,0
405,4.00,class Agent.Member,0
380,4.67,class Agent.Member,0
5,3.67,class Agent.Member,0
334,3.00,class Agent.Member,0
287,4.33,class Agent.Member,0
475,3.33,class Agent.Member,0
93,4.00,class Agent.Member,0
8,2.67,class Agent.Member,0
66,2.67,class Agent.Member,0
452,3.67,class Agent.Member,0
471,1.33,class Agent.Member,0
18,2.33,class Agent.Member,0
86,2.00,class Agent.Member,0
363,4.00,class Agent.Member,0
106,4.00,class Agent.Member,0
240,3.00,class Agent.Member,0
283,2.67,class Agent.Member,0
492,2.67,class Agent.Member,0
350,1.00,class Agent.Member,0
282,4.00,class Agent.Member,0
174,3.33,class Agent.Member,0
339,3.33,class Agent.Member,0
118,1.67,class Agent.Member,0
17,2.00,class Agent.Member,0
31,3.33,class Agent.Member,0
176,2.67,class Agent.Member,0
493,2.33,class Agent.Member,0
430,4.00,class Agent.Member,0
36,2.67,class Agent.Member,0
403,3.00,class Agent.Member,0
274,3.67,class Agent.Member,0
249,4.33,class Agent.Member,0
146,3.67,class Agent.Member,0
317,2.00,class Agent.Member,0
177,3.00,class Agent.Member,0
462,2.67,class Agent.Member,0
44,3.67,class Agent.Member,0
103,2.67,class Agent.Member,0
26,4.00,class Agent.Member,0
423,2.67,class Agent.Member,0
432,3.00,class Agent.Member,0
167,3.00,class Agent.Member,0
48,3.67,class Agent.Member,0
98,4.00,class Agent.Member,0
358,2.33,class Agent.Member,0
13,2.33,class Agent.Member,0
314,2.33,class Agent.Member,0
24,4.67,class Agent.Member,0
397,3.33,class Agent.Member,0
39,3.67,class Agent.Member,0
329,3.33,class Agent.Member,0
111,2.67,class Agent.Member,0
194,3.67,class Agent.Member,0
141,3.33,class Agent.Member,0
354,2.67,class Agent.Member,0
370,3.33,class Agent.Member,0
381,3.33,class Agent.Member,0
295,2.67,class Agent.Member,0
49,3.00,class Agent.Member,0
215,3.33,class Agent.Member,0
355,3.00,class Agent.Member,0
191,4.00,class Agent.Member,0
150,2.67,class Agent.Member,0
485,3.33,class Agent.Member,0
96,3.00,class Agent.Member,0
398,4.33,class Agent.Member,0
298,3.33,class Agent.Member,0
160,3.67,class Agent.Member,0
23,2.67,class Agent.Member,0
389,4.33,class Agent.Member,0
197,4.67,class Agent.Member,0
227,3.67,class Agent.Member,0
384,3.33,class Agent.Member,0
19,3.67,class Agent.Member,0
247,3.00,class Agent.Member,0
125,3.00,class Agent.Member,0
123,2.00,class Agent.Member,0
377,4.00,class Agent.Member,0
10,3.00,class Agent.Member,0
409,3.00,class Agent.Member,0
151,4.00,class Agent.Member,0
281,4.00,class Agent.Member,0
306,3.33,class Agent.Member,0
207,3.67,class Agent.Member,0
478,4.00,class Agent.Member,0
344,2.00,class Agent.Member,0
116,3.33,class Agent.Member,0
402,3.33,class Agent.Member,0
53,4.33,class Agent.Member,0
243,3.67,class Agent.Member,0
172,3.67,class Agent.Member,0
217,3.33,class Agent.Member,0
464,3.67,class Agent.Member,0
139,2.33,class Agent.Member,0
223,4.00,class Agent.Member,0
