AgentID,Cap,Role,Count,TO,Cap,Distance
342,2.33,class Agent.Leader,7,442,2.33,1,113,3.33,1,279,3.33,1,39,3.67,1,352,3.00,1,97,3.33,1,395,4.00,1
257,3.67,class Agent.Leader,7,129,4.33,1,39,3.67,1,284,2.67,1,7,3.00,1,269,2.33,1,128,2.67,1,121,4.00,1
366,2.33,class Agent.Leader,7,129,4.33,1,105,3.00,1,91,3.00,1,259,3.00,1,492,2.67,1,380,4.67,1,262,2.33,1
44,3.67,class Agent.Leader,6,421,3.00,1,263,3.33,1,6,3.00,1,229,3.33,1,75,4.00,1,440,1.33,1
332,2.00,class Agent.Leader,6,430,4.00,1,15,4.67,1,35,3.67,1,453,3.67,1,267,3.67,1,369,2.00,1
483,3.00,class Agent.Leader,8,237,3.33,2,450,3.00,1,232,3.67,1,271,3.67,1,168,3.67,1,14,4.33,1,358,2.33,1,470,4.00,1
374,2.00,class Agent.Leader,5,476,4.00,1,314,2.33,1,488,4.00,1,431,4.67,1,203,3.33,1
188,2.67,class Agent.Leader,6,393,3.33,1,413,3.00,1,3,2.67,1,207,3.67,2,161,4.33,1,274,3.67,2
231,1.67,class Agent.Leader,4,26,4.00,1,232,3.67,1,14,4.33,1,458,4.33,1
388,3.00,class Agent.Leader,8,247,3.00,1,385,2.67,1,307,4.33,1,254,3.00,1,87,3.00,1,252,3.67,1,492,2.67,1,428,2.67,1
484,1.67,class Agent.Leader,5,124,2.67,1,395,4.00,1,384,3.33,2,283,2.67,1,75,4.00,1
418,2.33,class Agent.Leader,6,81,3.33,1,207,3.67,1,444,2.00,1,57,3.00,1,381,3.33,1,205,4.00,1
20,1.67,class Agent.Leader,5,175,2.33,1,31,3.33,1,122,3.33,1,384,3.33,1,149,4.00,1
165,2.67,class Agent.Leader,2,438,4.00,1,274,3.67,1
50,2.00,class Agent.Leader,6,398,4.33,1,335,3.67,1,104,3.00,1,295,2.67,1,311,3.33,1,2,2.33,1
58,3.67,class Agent.Leader,8,94,3.67,1,325,3.33,1,309,3.67,1,303,4.33,1,107,3.00,1,225,3.67,1,205,4.00,1,369,2.00,1
419,3.33,class Agent.Leader,6,77,3.67,1,278,2.00,1,424,2.67,1,13,2.33,1,189,2.67,1,253,2.00,1
55,2.67,class Agent.Leader,5,309,3.67,1,54,3.33,1,469,2.00,1,173,4.00,1,71,2.67,2
177,3.00,class Agent.Leader,6,119,2.67,1,153,3.33,1,363,4.00,1,246,3.00,1,497,2.67,1,464,3.67,1
409,3.00,class Agent.Leader,8,130,3.33,1,211,3.00,1,271,3.67,1,83,1.67,1,471,1.33,1,431,4.67,1,329,3.33,1,439,3.33,1
272,2.33,class Agent.Leader,4,421,3.00,1,435,3.33,1,229,3.33,1,96,3.00,1
323,2.67,class Agent.Leader,4,363,4.00,1,338,3.00,1,397,3.33,1,205,4.00,1
85,2.67,class Agent.Leader,5,391,3.67,1,306,3.33,1,338,3.00,2,122,3.33,1,72,2.33,1
152,3.33,class Agent.Leader,7,133,3.67,1,64,2.33,2,370,3.33,1,189,2.67,1,432,3.00,1,25,4.33,1,362,3.33,1
117,3.00,class Agent.Leader,6,77,3.67,1,280,3.67,1,25,4.33,1,215,3.33,1,115,3.67,1,441,3.33,1
436,2.33,class Agent.Leader,7,242,3.00,1,291,2.67,1,249,4.33,1,47,4.00,1,26,4.00,1,384,3.33,1,191,4.00,1
167,3.00,class Agent.Leader,6,386,4.00,1,494,3.33,1,385,2.67,1,224,3.67,1,63,2.33,1,495,4.33,1
147,3.67,class Agent.Leader,5,31,3.33,1,131,5.00,1,26,4.00,1,331,3.00,1,191,4.00,1
202,2.33,class Agent.Leader,6,456,3.33,1,413,3.00,1,245,4.00,1,135,3.67,1,91,3.00,1,134,3.33,1
404,2.33,class Agent.Leader,5,282,4.00,1,443,3.00,1,49,3.00,1,226,4.33,1,115,3.67,1
351,2.67,class Agent.Leader,8,386,4.00,1,88,2.67,1,450,3.00,1,89,2.67,1,459,2.33,1,298,3.33,1,201,2.33,1,358,2.33,1
270,3.67,class Agent.Leader,7,230,3.00,1,16,2.00,1,23,2.67,1,19,3.67,1,461,4.00,1,405,4.00,1,313,3.33,1
114,2.33,class Agent.Leader,5,237,3.33,1,40,3.67,1,36,2.67,1,311,3.33,1,400,2.67,1
399,3.33,class Agent.Leader,6,48,3.67,1,494,3.33,1,491,2.33,1,232,3.67,1,331,3.00,1,287,4.33,1
11,3.00,class Agent.Leader,6,239,2.67,1,223,4.00,1,140,3.67,1,21,2.33,1,240,3.00,1,98,4.00,1
199,2.67,class Agent.Leader,6,430,4.00,1,35,3.67,1,243,3.67,1,392,3.33,2,69,4.67,1,486,2.67,1
357,3.33,class Agent.Leader,7,15,4.67,1,397,3.33,1,287,4.33,1,459,2.33,1,499,2.67,1,158,3.33,1,407,3.33,2
